country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name
Romania,ROU,2/12/2021,1048797,679333,369464,39376,32464,5.45,3.53,1.92,1688,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/13/2021,1084096,683347,400749,35299,34755,5.64,3.55,2.08,1807,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/14/2021,1113975,686635,427340,29879,36808,5.79,3.57,2.22,1913,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/15/2021,1151112,696944,454168,37137,37109,5.98,3.62,2.36,1929,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/16/2021,1197089,715749,481340,45977,38133,6.22,3.72,2.5,1982,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/17/2021,1240408,734929,505479,43319,38492,6.45,3.82,2.63,2001,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/18/2021,1280228,753753,526475,39820,38687,6.65,3.92,2.74,2011,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/19/2021,1318355,771240,547115,38127,38508,6.85,4.01,2.84,2002,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/20/2021,1351279,788508,562771,32924,38169,7.02,4.1,2.93,1984,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/21/2021,1379223,803098,576125,27944,37893,7.17,4.17,2.99,1970,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/22/2021,1409087,819447,589640,29864,36854,7.32,4.26,3.07,1916,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/23/2021,1438432,836860,601572,29345,34478,7.48,4.35,3.13,1792,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/24/2021,1466649,855097,611552,28217,32320,7.62,4.44,3.18,1680,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/25/2021,1486907,872361,614546,20258,29526,7.73,4.53,3.19,1535,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/26/2021,1506032,890068,615964,19125,26811,7.83,4.63,3.2,1394,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/27/2021,1521736,905142,616594,15704,24351,7.91,4.71,3.21,1266,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,2/28/2021,1532872,915761,617111,11136,21950,7.97,4.76,3.21,1141,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/1/2021,1565021,946781,618240,32149,22276,8.14,4.92,3.21,1158,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/2/2021,1603179,983997,619182,38158,23535,8.33,5.11,3.22,1223,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/3/2021,1641874,1022066,619808,38695,25032,8.53,5.31,3.22,1301,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/4/2021,1685611,1058452,627159,43737,28386,8.76,5.5,3.26,1476,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/5/2021,1732964,1096911,636053,47353,32419,9.01,5.7,3.31,1685,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/6/2021,1781602,1135895,645707,48638,37124,9.26,5.9,3.36,1930,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/7/2021,1826786,1173219,653567,45184,41988,9.5,6.1,3.4,2183,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/8/2021,1870244,1211503,658741,43458,43603,9.72,6.3,3.42,2267,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/9/2021,1918443,1253801,664642,48199,45038,9.97,6.52,3.45,2341,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/10/2021,1969846,1296161,673685,51403,46853,10.24,6.74,3.5,2435,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/11/2021,2019757,1335828,683929,49911,47735,10.5,6.94,3.56,2481,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/12/2021,2069143,1374595,694548,49386,48026,10.76,7.15,3.61,2496,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/13/2021,2117865,1412636,705229,48722,48038,11.01,7.34,3.67,2497,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/14/2021,2160564,1446358,714206,42699,47683,11.23,7.52,3.71,2479,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/15/2021,2210140,1486184,723956,49576,48557,11.49,7.73,3.76,2524,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
Romania,ROU,3/16/2021,2270124,1530483,739641,59984,50240,11.8,7.96,3.84,2612,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania
France,FRA,12/27/2020,13,13,0,0,0,0,0,0,0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,12/28/2020,52,52,0,39,39,0,0,0,1,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,12/29/2020,138,138,0,86,62,0,0,0,1,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,12/30/2020,237,237,0,99,75,0,0,0,1,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,12/31/2020,316,316,0,79,76,0,0,0,1,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/1/2021,325,325,0,9,62,0,0,0,1,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/2/2021,367,367,0,42,59,0,0,0,1,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/3/2021,441,441,0,74,61,0,0,0,1,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/4/2021,1800,1800,0,1359,250,0,0,0,4,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/5/2021,6744,6744,0,4944,944,0.01,0.01,0,14,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/6/2021,17064,17064,0,10320,2404,0.03,0.03,0,35,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/7/2021,43282,43282,0,26218,6138,0.06,0.06,0,90,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/8/2021,76022,76022,0,32740,10814,0.11,0.11,0,159,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/9/2021,86315,86315,0,10293,12278,0.13,0.13,0,180,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/10/2021,91629,91629,0,5314,13027,0.13,0.13,0,191,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/11/2021,125412,125412,0,33783,17659,0.18,0.18,0,259,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/12/2021,179119,179119,0,53707,24625,0.26,0.26,0,361,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/13/2021,235786,235786,0,56667,31246,0.35,0.35,0,459,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/14/2021,306206,306206,0,70420,37561,0.45,0.45,0,551,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/15/2021,364846,364846,0,58640,41261,0.54,0.54,0,605,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/16/2021,382326,382326,0,17480,42287,0.56,0.56,0,621,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/17/2021,391910,391910,0,9584,42897,0.58,0.58,0,629,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/18/2021,468073,468073,0,76163,48952,0.69,0.69,0,718,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/19/2021,585735,585735,0,117662,58088,0.86,0.86,0,852,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/20/2021,708973,708973,0,123238,67598,1.04,1.04,0,992,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/21/2021,850380,850380,0,141407,77739,1.25,1.25,0,1141,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/22/2021,959716,959716,0,109336,84981,1.41,1.41,0,1247,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/23/2021,995147,995147,0,35431,87546,1.46,1.46,0,1285,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/24/2021,1003968,1003968,0,8821,87437,1.47,1.47,0,1283,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/25/2021,1075045,1075045,0,71077,86710,1.58,1.58,0,1272,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/26/2021,1171264,1165852,5412,96219,83647,1.72,1.71,0.01,1227,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/27/2021,1274711,1262972,11739,103447,80820,1.87,1.85,0.02,1186,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/28/2021,1396881,1372680,24201,122170,78072,2.05,2.01,0.04,1146,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/29/2021,1494643,1453325,41318,97762,76418,2.19,2.13,0.06,1121,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/30/2021,1525377,1479909,45468,30734,75747,2.24,2.17,0.07,1112,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,1/31/2021,1533630,1486493,47137,8253,75666,2.25,2.18,0.07,1110,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/1/2021,1609072,1541079,67993,75442,76290,2.36,2.26,0.1,1119,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/2/2021,1717385,1615088,102297,108313,78017,2.52,2.37,0.15,1145,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/3/2021,1825982,1687026,138956,108597,78753,2.68,2.48,0.2,1156,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/4/2021,1962126,1772602,189524,136144,80749,2.88,2.6,0.28,1185,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/5/2021,2077037,1843763,233274,114911,83199,3.05,2.71,0.34,1221,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/6/2021,2109641,1866091,243550,32604,83466,3.1,2.74,0.36,1225,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/7/2021,2120218,1871604,248614,10577,83798,3.11,2.75,0.36,1230,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/8/2021,2216826,1922706,294120,96608,86822,3.25,2.82,0.43,1274,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/9/2021,2356862,1990860,366002,140036,91354,3.46,2.92,0.54,1341,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/10/2021,2502935,2060675,442260,146073,96708,3.67,3.02,0.65,1419,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/11/2021,2686925,2146212,540713,183990,103543,3.94,3.15,0.79,1519,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/12/2021,2839817,2225321,614496,152892,108969,4.17,3.27,0.9,1599,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/13/2021,2883456,2249685,633771,43639,110545,4.23,3.3,0.93,1622,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/14/2021,2896472,2255597,640875,13016,110893,4.25,3.31,0.94,1627,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/15/2021,3014973,2298086,716887,118501,114021,4.42,3.37,1.05,1673,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/16/2021,3174936,2357946,816990,159963,116868,4.66,3.46,1.2,1715,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/17/2021,3329201,2409831,919370,154265,118038,4.89,3.54,1.35,1732,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/18/2021,3514014,2476748,1037266,184813,118156,5.16,3.63,1.52,1734,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/19/2021,3668121,2540702,1127419,154107,118329,5.38,3.73,1.65,1736,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/20/2021,3716619,2560982,1155637,48498,119023,5.45,3.76,1.7,1747,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/21/2021,3726513,2564530,1161983,9894,118577,5.47,3.76,1.71,1740,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/22/2021,3838375,2603702,1234673,111862,117629,5.63,3.82,1.81,1726,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/23/2021,3974739,2656447,1318292,136364,114258,5.83,3.9,1.93,1677,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/24/2021,4111784,2712800,1398984,137045,111798,6.03,3.98,2.05,1641,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/25/2021,4298573,2808490,1490083,186789,112080,6.31,4.12,2.19,1645,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/26/2021,4478500,2917925,1560575,179927,115768,6.57,4.28,2.29,1699,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/27/2021,4550370,2967937,1582433,71870,119107,6.68,4.36,2.32,1748,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,2/28/2021,4560861,2974019,1586842,10491,119193,6.69,4.36,2.33,1749,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/1/2021,4675887,3036605,1639282,115026,119645,6.86,4.46,2.41,1756,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/2/2021,4839444,3133478,1705966,163557,123529,7.1,4.6,2.5,1813,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/3/2021,5016763,3245517,1771246,177319,129283,7.36,4.76,2.6,1897,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/4/2021,5232095,3392269,1839826,215332,133360,7.68,4.98,2.7,1957,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/5/2021,5484624,3581812,1902812,252529,143732,8.05,5.26,2.79,2109,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/6/2021,5692974,3772579,1920395,208350,163229,8.35,5.54,2.82,2395,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/7/2021,5807779,3881967,1925812,114805,178131,8.52,5.7,2.83,2614,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/8/2021,5972593,3996329,1976264,164814,185244,8.76,5.86,2.9,2718,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/9/2021,6197209,4164418,2032791,224616,193966,9.09,6.11,2.98,2846,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/10/2021,6427037,4337343,2089694,229828,201468,9.43,6.36,3.07,2956,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/11/2021,6722229,4569849,2152380,295192,212876,9.86,6.71,3.16,3124,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/12/2021,7058746,4853278,2205468,336517,224875,10.36,7.12,3.24,3300,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/13/2021,7292852,5072244,2220608,234106,228554,10.7,7.44,3.26,3354,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/14/2021,7359596,5135616,2223980,66744,221688,10.8,7.54,3.26,3253,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
France,FRA,3/15/2021,7552120,5295735,2256385,192524,225647,11.08,7.77,3.31,3311,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Public Health France
Germany,DEU,12/27/2020,23569,23569,0,0,0,0.03,0.03,0,0,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut
Germany,DEU,12/28/2020,42309,42309,0,18740,18740,0.05,0.05,0,224,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut
Germany,DEU,12/29/2020,84958,84958,0,42649,30694,0.1,0.1,0,366,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut
Germany,DEU,12/30/2020,142960,142960,0,58002,39797,0.17,0.17,0,475,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut
Germany,DEU,12/31/2020,181577,181577,0,38617,39502,0.22,0.22,0,471,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut
Germany,DEU,1/1/2021,206326,206326,0,24749,36551,0.25,0.25,0,436,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut
Germany,DEU,1/2/2021,258506,258506,0,52180,39156,0.31,0.31,0,467,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut
Germany,DEU,1/3/2021,283492,283492,0,24986,37132,0.34,0.34,0,443,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut
Germany,DEU,1/4/2021,332176,332176,0,48684,41410,0.4,0.4,0,494,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut
Germany,DEU,1/5/2021,384632,384632,0,52456,42811,0.46,0.46,0,511,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut
Germany,DEU,1/6/2021,443799,443799,0,59167,42977,0.53,0.53,0,513,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Robert Koch Institut
