,Date,ID,Problems_solved,Transactions,T_Month
90,2020-08-31,43.0,3,0,2020-08-01
91,2020-08-01,43.0,27,0,2020-08-01
92,2020-08-03,43.0,15,0,2020-08-01
93,2020-08-06,43.0,1,0,2020-08-01
95,2020-08-08,43.0,63,0,2020-08-01
96,2020-08-10,43.0,7,0,2020-08-01
97,2020-08-15,43.0,35,0,2020-08-01
98,2020-08-16,43.0,39,0,2020-08-01
99,2020-08-17,43.0,2,0,2020-08-01
100,2020-08-21,43.0,8,0,2020-08-01
101,2020-08-22,43.0,26,0,2020-08-01
102,2020-08-23,43.0,38,0,2020-08-01
103,2020-08-24,43.0,17,0,2020-08-01
104,2020-08-25,43.0,18,0,2020-08-01
105,2020-08-28,43.0,20,0,2020-08-01
106,2020-08-31,43.0,12,0,2020-08-01
107,2020-08-01,43.0,2,0,2020-08-01
108,2020-08-21,43.0,2,0,2020-08-01
109,2020-08-22,43.0,3,0,2020-08-01
110,2020-08-23,43.0,4,0,2020-08-01
112,2020-08-28,43.0,1,0,2020-08-01
113,2020-08-31,295.0,3,0,2020-08-01
114,2020-08-17,295.0,5,0,2020-08-01
115,2020-08-11,295.0,0,0,2020-08-01
116,2020-08-12,1.0,0,0,2020-08-01
118,2020-08-02,1.0,47,0,2020-08-01
119,2020-08-03,1.0,58,594,2020-08-01
120,2020-08-04,1.0,57,"1,081",2020-08-01
121,2020-08-05,1.0,55,0,2020-08-01
122,2020-08-07,1.0,48,0,2020-08-01
123,2020-08-08,1.0,10,0,2020-08-01
124,2020-08-10,1.0,43,804,2020-08-01
125,2020-08-11,1.0,43,427,2020-08-01
126,2020-08-12,1.0,26,621,2020-08-01
127,2020-08-14,1.0,36,0,2020-08-01
128,2020-08-15,1.0,38,0,2020-08-01
129,2020-08-17,1.0,44,297,2020-08-01
130,2020-08-21,1.0,37,333,2020-08-01
131,2020-08-22,1.0,16,0,2020-08-01
132,2020-08-08,1.0,2,0,2020-08-01
133,2020-08-22,1.0,10,0,2020-08-01
134,2020-08-25,1.0,13,0,2020-08-01
135,2020-08-26,1.0,4,0,2020-08-01
136,2020-08-27,1.0,2,0,2020-08-01
137,2020-08-21,1.0,10,0,2020-08-01
138,2020-08-24,1.0,54,0,2020-08-01
139,2020-08-25,1.0,28,0,2020-08-01
140,2020-08-26,1.0,31,0,2020-08-01
141,2020-08-27,1.0,45,0,2020-08-01
142,2020-08-28,1.0,65,0,2020-08-01
143,2020-08-31,1.0,52,0,2020-08-01
144,2020-08-08,1.0,17,0,2020-08-01
145,2020-08-12,1.0,3,0,2020-08-01
146,2020-08-08,2.0,7,0,2020-08-01
147,2020-08-19,2.0,20,0,2020-08-01
148,2020-08-24,2.0,5,346,2020-08-01
149,2020-08-25,2.0,18,0,2020-08-01
150,2020-08-28,2.0,22,0,2020-08-01
151,2020-08-01,2.0,49,0,2020-08-01
152,2020-08-17,2.0,15,0,2020-08-01
153,2020-08-18,2.0,5,0,2020-08-01
154,2020-08-20,2.0,8,0,2020-08-01
155,2020-08-21,2.0,3,0,2020-08-01
156,2020-08-24,2.0,6,0,2020-08-01
157,2020-08-26,2.0,7,0,2020-08-01
158,2020-08-28,2.0,2,0,2020-08-01
159,2020-08-17,2.0,1,0,2020-08-01
160,2020-08-17,2.0,41,0,2020-08-01
161,2020-08-18,2.0,44,0,2020-08-01
162,2020-08-19,2.0,22,0,2020-08-01
163,2020-08-20,2.0,23,0,2020-08-01
164,2020-08-21,2.0,23,0,2020-08-01
165,2020-08-24,2.0,34,0,2020-08-01
166,2020-08-25,2.0,9,0,2020-08-01
167,2020-08-26,2.0,35,0,2020-08-01
168,2020-08-28,2.0,8,0,2020-08-01
169,2020-08-31,3.0,28,0,2020-08-01
170,2020-08-03,3.0,15,578,2020-08-01
171,2020-08-06,3.0,7,501,2020-08-01
172,2020-08-09,3.0,2,0,2020-08-01
173,2020-08-13,3.0,15,0,2020-08-01
174,2020-08-18,3.0,9,115,2020-08-01
175,2020-08-23,3.0,23,0,2020-08-01
176,2020-08-24,3.0,11,0,2020-08-01
177,2020-08-26,3.0,11,445,2020-08-01
178,2020-08-31,3.0,29,0,2020-08-01
179,2020-08-04,3.0,3,0,2020-08-01
180,2020-08-07,3.0,9,0,2020-08-01
181,2020-08-09,3.0,15,0,2020-08-01
182,2020-08-10,3.0,4,0,2020-08-01
183,2020-08-11,3.0,9,0,2020-08-01
184,2020-08-23,3.0,8,0,2020-08-01
185,2020-08-04,3.0,2,0,2020-08-01
186,2020-08-14,3.0,1,0,2020-08-01
187,2020-08-27,3.0,1,0,2020-08-01
188,2020-08-03,3.0,32,0,2020-08-01
189,2020-08-04,3.0,43,0,2020-08-01
190,2020-08-05,3.0,27,0,2020-08-01
191,2020-08-06,3.0,20,0,2020-08-01
192,2020-08-07,3.0,29,0,2020-08-01
193,2020-08-10,3.0,25,0,2020-08-01
194,2020-08-11,3.0,34,0,2020-08-01
195,2020-08-13,3.0,21,0,2020-08-01
196,2020-08-14,3.0,41,0,2020-08-01
197,2020-08-17,3.0,28,0,2020-08-01
198,2020-08-18,3.0,9,0,2020-08-01
199,2020-08-20,3.0,47,0,2020-08-01
200,2020-08-21,3.0,36,0,2020-08-01
201,2020-08-24,3.0,36,0,2020-08-01
202,2020-08-26,3.0,16,0,2020-08-01
203,2020-08-27,3.0,36,0,2020-08-01
204,2020-08-28,3.0,41,0,2020-08-01
205,2020-08-31,3.0,13,0,2020-08-01
206,2020-08-11,4.0,1,0,2020-08-01
207,2020-08-05,4.0,15,0,2020-08-01
208,2020-08-06,4.0,9,150,2020-08-01
209,2020-08-07,4.0,21,287,2020-08-01
210,2020-08-12,4.0,6,112,2020-08-01
211,2020-08-18,4.0,17,244,2020-08-01
212,2020-08-21,4.0,13,858,2020-08-01
213,2020-08-22,4.0,7,0,2020-08-01
214,2020-08-24,4.0,30,0,2020-08-01
215,2020-08-25,4.0,13,0,2020-08-01
216,2020-08-27,4.0,32,497,2020-08-01
217,2020-08-28,4.0,47,497,2020-08-01
218,2020-08-31,4.0,0,0,2020-08-01
219,2020-08-04,4.0,8,0,2020-08-01
220,2020-08-10,4.0,8,0,2020-08-01
221,2020-08-11,4.0,18,0,2020-08-01
222,2020-08-12,4.0,10,0,2020-08-01
223,2020-08-13,4.0,10,0,2020-08-01
224,2020-08-19,4.0,8,0,2020-08-01
225,2020-08-21,4.0,6,0,2020-08-01
226,2020-08-22,4.0,10,0,2020-08-01
227,2020-08-25,4.0,1,0,2020-08-01
228,2020-08-26,4.0,6,0,2020-08-01
229,2020-08-03,4.0,56,0,2020-08-01
230,2020-08-04,4.0,52,0,2020-08-01
231,2020-08-05,4.0,47,0,2020-08-01
232,2020-08-06,4.0,33,0,2020-08-01
233,2020-08-07,4.0,27,0,2020-08-01
234,2020-08-10,4.0,44,0,2020-08-01
236,2020-08-12,4.0,23,0,2020-08-01
237,2020-08-13,4.0,28,0,2020-08-01
238,2020-08-18,4.0,20,0,2020-08-01
239,2020-08-19,4.0,17,0,2020-08-01
240,2020-08-21,4.0,18,0,2020-08-01
241,2020-08-24,4.0,20,0,2020-08-01
242,2020-08-25,4.0,24,0,2020-08-01
243,2020-08-26,4.0,32,0,2020-08-01
244,2020-08-27,4.0,12,0,2020-08-01
245,2020-08-28,4.0,12,0,2020-08-01
246,2020-08-31,4.0,54,0,2020-08-01
247,2020-08-11,5.0,7,0,2020-08-01
248,2020-08-10,5.0,16,0,2020-08-01
249,2020-08-11,5.0,36,0,2020-08-01
250,2020-08-12,5.0,42,0,2020-08-01
251,2020-08-13,5.0,19,0,2020-08-01
252,2020-08-14,5.0,35,0,2020-08-01
253,2020-08-17,5.0,14,0,2020-08-01
254,2020-08-18,5.0,27,0,2020-08-01
255,2020-08-19,5.0,19,0,2020-08-01
256,2020-08-20,5.0,21,0,2020-08-01
257,2020-08-21,5.0,14,0,2020-08-01
258,2020-08-24,5.0,53,0,2020-08-01
259,2020-08-25,5.0,17,0,2020-08-01
260,2020-08-26,5.0,22,0,2020-08-01
261,2020-08-27,5.0,23,0,2020-08-01
262,2020-08-10,5.0,9,0,2020-08-01
263,2020-08-13,5.0,1,0,2020-08-01
264,2020-08-17,5.0,0,0,2020-08-01
265,2020-08-07,5.0,1,0,2020-08-01
266,2020-08-10,5.0,3,0,2020-08-01
268,2020-08-05,5.0,53,0,2020-08-01
269,2020-08-06,5.0,43,0,2020-08-01
270,2020-08-07,5.0,18,0,2020-08-01
271,2020-08-10,5.0,19,0,2020-08-01
272,2020-08-11,5.0,13,0,2020-08-01
273,2020-08-12,5.0,14,0,2020-08-01
274,2020-08-13,5.0,16,0,2020-08-01
275,2020-08-14,5.0,16,0,2020-08-01
276,2020-08-17,5.0,31,0,2020-08-01
277,2020-08-18,5.0,12,0,2020-08-01
278,2020-08-19,5.0,10,0,2020-08-01
279,2020-08-20,5.0,9,0,2020-08-01
280,2020-08-21,5.0,16,0,2020-08-01
281,2020-08-24,5.0,9,0,2020-08-01
282,2020-08-25,5.0,20,0,2020-08-01
283,2020-08-26,5.0,10,0,2020-08-01
284,2020-08-27,6.0,14,0,2020-08-01
285,2020-08-22,6.0,0,0,2020-08-01
286,2020-08-22,6.0,19,0,2020-08-01
287,2020-08-24,6.0,1,0,2020-08-01
288,2020-08-29,6.0,48,0,2020-08-01
289,2020-08-10,6.0,9,0,2020-08-01
290,2020-08-11,6.0,31,0,2020-08-01
291,2020-08-12,6.0,23,0,2020-08-01
292,2020-08-13,6.0,38,0,2020-08-01
293,2020-08-14,6.0,35,0,2020-08-01
294,2020-08-17,6.0,42,0,2020-08-01
295,2020-08-18,6.0,40,0,2020-08-01
296,2020-08-19,6.0,32,0,2020-08-01
297,2020-08-20,6.0,30,0,2020-08-01
298,2020-08-21,6.0,24,0,2020-08-01
299,2020-08-24,6.0,40,0,2020-08-01
300,2020-08-28,6.0,55,0,2020-08-01
301,2020-08-31,6.0,48,0,2020-08-01
302,2020-08-21,6.0,1,0,2020-08-01
303,2020-08-21,6.0,2,0,2020-08-01
304,2020-08-05,6.0,20,348,2020-08-01
305,2020-08-04,6.0,11,0,2020-08-01
306,2020-08-07,6.0,41,0,2020-08-01
307,2020-08-12,6.0,5,0,2020-08-01
308,2020-08-13,6.0,11,0,2020-08-01
309,2020-08-14,6.0,12,0,2020-08-01
310,2020-08-17,6.0,32,0,2020-08-01
311,2020-08-03,6.0,72,0,2020-08-01
312,2020-08-04,6.0,36,0,2020-08-01
313,2020-08-05,6.0,20,0,2020-08-01
314,2020-08-07,6.0,27,0,2020-08-01
315,2020-08-12,6.0,31,0,2020-08-01
316,2020-08-13,6.0,37,0,2020-08-01
317,2020-08-14,6.0,65,0,2020-08-01
318,2020-08-17,6.0,24,0,2020-08-01
319,2020-08-18,6.0,62,0,2020-08-01
320,2020-08-12,7.0,6,0,2020-08-01
321,2020-08-08,7.0,0,0,2020-08-01
322,2020-08-07,7.0,74,0,2020-08-01
323,2020-08-10,7.0,29,0,2020-08-01
324,2020-08-11,7.0,44,0,2020-08-01
325,2020-08-14,7.0,61,0,2020-08-01
326,2020-08-15,7.0,94,0,2020-08-01
327,2020-08-16,7.0,73,0,2020-08-01
328,2020-08-24,7.0,55,0,2020-08-01
329,2020-08-25,7.0,35,0,2020-08-01
330,2020-08-26,7.0,36,0,2020-08-01
331,2020-08-29,7.0,81,0,2020-08-01
332,2020-08-30,7.0,134,0,2020-08-01
333,2020-08-10,7.0,7,0,2020-08-01
334,2020-08-17,7.0,10,0,2020-08-01
335,2020-08-22,7.0,9,0,2020-08-01
336,2020-08-23,7.0,35,0,2020-08-01
337,2020-08-02,7.0,105,0,2020-08-01
338,2020-08-04,7.0,3,0,2020-08-01
339,2020-08-08,7.0,29,0,2020-08-01
340,2020-08-22,7.0,4,0,2020-08-01
341,2020-08-29,7.0,12,0,2020-08-01
342,2020-08-03,7.0,46,0,2020-08-01
343,2020-08-04,7.0,38,0,2020-08-01
344,2020-08-06,7.0,37,0,2020-08-01
345,2020-08-07,7.0,26,0,2020-08-01
346,2020-08-10,7.0,17,0,2020-08-01
347,2020-08-11,7.0,13,0,2020-08-01
348,2020-08-14,7.0,18,0,2020-08-01
349,2020-08-17,7.0,23,0,2020-08-01
350,2020-08-24,7.0,10,0,2020-08-01
351,2020-08-25,7.0,23,0,2020-08-01
352,2020-08-26,7.0,25,0,2020-08-01
353,2020-08-08,7.0,24,0,2020-08-01
354,2020-08-22,7.0,11,0,2020-08-01
355,2020-08-24,7.0,3,0,2020-08-01
356,2020-08-08,7.0,7,0,2020-08-01
357,2020-08-22,8.0,3,0,2020-08-01
358,2020-08-03,8.0,0,0,2020-08-01
359,2020-08-06,8.0,14,0,2020-08-01
360,2020-08-12,8.0,2,0,2020-08-01
361,2020-08-13,8.0,8,0,2020-08-01
362,2020-08-14,8.0,18,"1,292",2020-08-01
363,2020-08-17,8.0,5,0,2020-08-01
364,2020-08-18,8.0,9,"1,469",2020-08-01
365,2020-08-20,8.0,18,0,2020-08-01
366,2020-08-25,8.0,15,0,2020-08-01
367,2020-08-31,8.0,15,0,2020-08-01
368,2020-08-04,8.0,7,0,2020-08-01
369,2020-08-07,8.0,5,0,2020-08-01
370,2020-08-10,8.0,2,0,2020-08-01
371,2020-08-11,8.0,3,0,2020-08-01
372,2020-08-12,8.0,7,0,2020-08-01
373,2020-08-13,8.0,5,0,2020-08-01
374,2020-08-18,8.0,2,0,2020-08-01
375,2020-08-19,8.0,8,0,2020-08-01
376,2020-08-24,8.0,1,0,2020-08-01
377,2020-08-25,8.0,1,0,2020-08-01
378,2020-08-26,8.0,6,0,2020-08-01
379,2020-08-04,8.0,1,0,2020-08-01
380,2020-08-03,8.0,44,0,2020-08-01
381,2020-08-04,8.0,35,0,2020-08-01
382,2020-08-05,8.0,43,0,2020-08-01
383,2020-08-06,8.0,28,0,2020-08-01
384,2020-08-07,8.0,42,0,2020-08-01
385,2020-08-10,8.0,35,0,2020-08-01
386,2020-08-11,8.0,29,0,2020-08-01
387,2020-08-12,8.0,21,0,2020-08-01
388,2020-08-13,8.0,20,0,2020-08-01
389,2020-08-14,8.0,7,0,2020-08-01
390,2020-08-17,8.0,19,0,2020-08-01
391,2020-08-18,8.0,5,0,2020-08-01
392,2020-08-19,8.0,18,0,2020-08-01
393,2020-08-20,8.0,12,0,2020-08-01
394,2020-08-21,8.0,18,0,2020-08-01
395,2020-08-24,8.0,27,0,2020-08-01
397,2020-08-26,8.0,20,0,2020-08-01
398,2020-08-27,8.0,21,0,2020-08-01
399,2020-08-31,8.0,13,0,2020-08-01
400,2020-08-10,8.0,7,0,2020-08-01
401,2020-08-11,8.0,2,0,2020-08-01
402,2020-08-21,8.0,4,0,2020-08-01
403,2020-08-26,8.0,12,0,2020-08-01
404,2020-08-27,8.0,12,0,2020-08-01
406,2020-08-21,8.0,1,0,2020-08-01
407,2020-08-27,284.0,3,0,2020-08-01
408,2020-08-04,284.0,11,0,2020-08-01
409,2020-08-12,284.0,17,0,2020-08-01
410,2020-08-20,284.0,10,0,2020-08-01
411,2020-08-03,284.0,62,0,2020-08-01
412,2020-08-04,284.0,39,0,2020-08-01
413,2020-08-05,284.0,23,0,2020-08-01
414,2020-08-06,284.0,47,0,2020-08-01
415,2020-08-07,284.0,49,0,2020-08-01
416,2020-08-10,284.0,45,0,2020-08-01
417,2020-08-11,284.0,38,0,2020-08-01
418,2020-08-12,284.0,30,0,2020-08-01
419,2020-08-13,284.0,48,0,2020-08-01
420,2020-08-14,284.0,56,0,2020-08-01
421,2020-08-17,284.0,52,0,2020-08-01
422,2020-08-18,284.0,44,0,2020-08-01
423,2020-08-19,284.0,32,0,2020-08-01
424,2020-08-20,284.0,26,0,2020-08-01
425,2020-08-21,33.0,43,0,2020-08-01
426,2020-08-03,33.0,7,0,2020-08-01
427,2020-08-04,33.0,26,0,2020-08-01
428,2020-08-05,33.0,28,0,2020-08-01
429,2020-08-06,33.0,16,0,2020-08-01
430,2020-08-25,33.0,1,0,2020-08-01
431,2020-08-06,33.0,19,0,2020-08-01
432,2020-08-07,33.0,26,0,2020-08-01
433,2020-08-10,33.0,26,0,2020-08-01
434,2020-08-11,33.0,38,0,2020-08-01
435,2020-08-12,33.0,31,0,2020-08-01
436,2020-08-13,33.0,30,0,2020-08-01
437,2020-08-14,33.0,20,0,2020-08-01
438,2020-08-17,33.0,24,0,2020-08-01
439,2020-08-18,33.0,35,0,2020-08-01
440,2020-08-19,33.0,32,0,2020-08-01
441,2020-08-20,33.0,51,0,2020-08-01
442,2020-08-21,33.0,30,0,2020-08-01
443,2020-08-24,33.0,35,0,2020-08-01
444,2020-08-25,33.0,55,0,2020-08-01
445,2020-08-26,33.0,33,0,2020-08-01
446,2020-08-27,33.0,49,0,2020-08-01
447,2020-08-28,33.0,50,0,2020-08-01
448,2020-08-31,9.0,56,0,2020-08-01
449,2020-08-13,9.0,1,0,2020-08-01
450,2020-08-18,9.0,11,0,2020-08-01
451,2020-08-19,9.0,35,0,2020-08-01
452,2020-08-20,9.0,24,303,2020-08-01
453,2020-08-21,9.0,24,84,2020-08-01
454,2020-08-24,9.0,9,0,2020-08-01
455,2020-08-25,9.0,24,0,2020-08-01
456,2020-08-26,9.0,21,0,2020-08-01
457,2020-08-27,9.0,26,0,2020-08-01
458,2020-08-28,9.0,79,0,2020-08-01
459,2020-08-04,9.0,4,0,2020-08-01
460,2020-08-11,9.0,28,0,2020-08-01
461,2020-08-13,9.0,11,0,2020-08-01
462,2020-08-14,9.0,11,0,2020-08-01
463,2020-08-17,9.0,24,0,2020-08-01
464,2020-08-18,9.0,3,0,2020-08-01
465,2020-08-20,9.0,9,0,2020-08-01
466,2020-08-21,9.0,8,0,2020-08-01
467,2020-08-24,9.0,11,0,2020-08-01
468,2020-08-26,9.0,1,0,2020-08-01
469,2020-08-27,9.0,1,0,2020-08-01
470,2020-08-30,9.0,25,0,2020-08-01
471,2020-08-03,9.0,72,0,2020-08-01
472,2020-08-04,9.0,66,0,2020-08-01
473,2020-08-11,9.0,27,0,2020-08-01
474,2020-08-13,9.0,48,0,2020-08-01
475,2020-08-14,9.0,52,0,2020-08-01
476,2020-08-17,9.0,48,0,2020-08-01
477,2020-08-18,9.0,47,0,2020-08-01
478,2020-08-19,9.0,23,0,2020-08-01
479,2020-08-20,9.0,17,0,2020-08-01
480,2020-08-21,9.0,29,0,2020-08-01
481,2020-08-24,9.0,58,0,2020-08-01
482,2020-08-25,9.0,49,0,2020-08-01
483,2020-08-26,9.0,16,0,2020-08-01
484,2020-08-27,9.0,41,0,2020-08-01
485,2020-08-28,9.0,11,0,2020-08-01
486,2020-08-31,9.0,58,0,2020-08-01
487,2020-08-11,10.0,1,0,2020-08-01
488,2020-08-05,10.0,23,510,2020-08-01
489,2020-08-07,10.0,34,615,2020-08-01
490,2020-08-12,10.0,9,171,2020-08-01
491,2020-08-18,10.0,12,323,2020-08-01
492,2020-08-21,10.0,10,0,2020-08-01
493,2020-08-22,10.0,17,0,2020-08-01
494,2020-08-24,10.0,37,293,2020-08-01
495,2020-08-25,10.0,12,847,2020-08-01
496,2020-08-26,10.0,39,177,2020-08-01
497,2020-08-04,10.0,10,0,2020-08-01
498,2020-08-08,10.0,28,0,2020-08-01
499,2020-08-10,10.0,10,0,2020-08-01
500,2020-08-11,10.0,23,0,2020-08-01
501,2020-08-12,10.0,4,0,2020-08-01
502,2020-08-15,10.0,25,0,2020-08-01
503,2020-08-18,10.0,13,0,2020-08-01
504,2020-08-19,10.0,10,0,2020-08-01
505,2020-08-21,10.0,4,0,2020-08-01
506,2020-08-22,10.0,10,0,2020-08-01
507,2020-08-25,10.0,7,0,2020-08-01
508,2020-08-04,10.0,1,0,2020-08-01
509,2020-08-03,10.0,73,0,2020-08-01
510,2020-08-04,10.0,51,0,2020-08-01
511,2020-08-05,10.0,33,0,2020-08-01
512,2020-08-06,10.0,71,0,2020-08-01
513,2020-08-07,10.0,27,0,2020-08-01
514,2020-08-10,10.0,56,0,2020-08-01
515,2020-08-11,10.0,29,0,2020-08-01
516,2020-08-12,10.0,27,0,2020-08-01
517,2020-08-14,10.0,43,0,2020-08-01
518,2020-08-17,10.0,48,0,2020-08-01
519,2020-08-18,10.0,9,0,2020-08-01
520,2020-08-19,10.0,28,0,2020-08-01
521,2020-08-21,10.0,24,0,2020-08-01
522,2020-08-24,10.0,12,0,2020-08-01
523,2020-08-25,10.0,25,0,2020-08-01
524,2020-08-26,10.0,5,0,2020-08-01
525,2020-08-08,10.0,14,0,2020-08-01
527,2020-08-15,10.0,3,0,2020-08-01
528,2020-08-08,10.0,4,0,2020-08-01
529,2020-08-10,10.0,0,0,2020-08-01
530,2020-08-15,11.0,0,0,2020-08-01
531,2020-08-16,11.0,1,0,2020-08-01
532,2020-08-12,11.0,13,0,2020-08-01
533,2020-08-16,11.0,28,0,2020-08-01
534,2020-08-24,11.0,13,0,2020-08-01
535,2020-08-30,11.0,25,0,2020-08-01
536,2020-08-11,11.0,53,0,2020-08-01
537,2020-08-12,11.0,21,0,2020-08-01
538,2020-08-13,11.0,44,0,2020-08-01
539,2020-08-14,11.0,71,0,2020-08-01
540,2020-08-17,11.0,90,0,2020-08-01
541,2020-08-18,11.0,71,0,2020-08-01
542,2020-08-19,11.0,58,0,2020-08-01
543,2020-08-24,11.0,65,0,2020-08-01
544,2020-08-25,11.0,39,0,2020-08-01
545,2020-08-27,11.0,50,0,2020-08-01
546,2020-08-28,11.0,32,0,2020-08-01
547,2020-08-31,11.0,69,0,2020-08-01
548,2020-08-16,38.0,3,0,2020-08-01
549,2020-08-03,38.0,11,0,2020-08-01
550,2020-08-04,38.0,42,0,2020-08-01
551,2020-08-05,38.0,25,0,2020-08-01
552,2020-08-06,38.0,1,0,2020-08-01
553,2020-08-05,38.0,15,0,2020-08-01
554,2020-08-06,38.0,28,0,2020-08-01
555,2020-08-07,38.0,41,0,2020-08-01
556,2020-08-10,38.0,34,0,2020-08-01
557,2020-08-11,38.0,41,0,2020-08-01
558,2020-08-12,38.0,33,0,2020-08-01
559,2020-08-13,38.0,42,0,2020-08-01
560,2020-08-14,38.0,26,0,2020-08-01
561,2020-08-17,38.0,36,0,2020-08-01
562,2020-08-18,38.0,41,0,2020-08-01
563,2020-08-19,38.0,36,0,2020-08-01
564,2020-08-20,38.0,41,0,2020-08-01
565,2020-08-21,38.0,34,0,2020-08-01
566,2020-08-24,38.0,36,0,2020-08-01
567,2020-08-25,38.0,43,0,2020-08-01
568,2020-08-26,38.0,42,0,2020-08-01
569,2020-08-27,38.0,48,0,2020-08-01
570,2020-08-28,38.0,55,0,2020-08-01
571,2020-08-31,177.0,64,0,2020-08-01
572,2020-08-12,177.0,0,0,2020-08-01
574,2020-08-02,177.0,32,0,2020-08-01
575,2020-08-03,177.0,72,65,2020-08-01
576,2020-08-04,177.0,45,455,2020-08-01
577,2020-08-07,177.0,118,699,2020-08-01
578,2020-08-08,177.0,39,0,2020-08-01
579,2020-08-10,177.0,89,"1,285",2020-08-01
580,2020-08-11,177.0,59,589,2020-08-01
581,2020-08-12,177.0,67,627,2020-08-01
582,2020-08-13,177.0,91,449,2020-08-01
583,2020-08-16,177.0,40,0,2020-08-01
584,2020-08-17,177.0,77,482,2020-08-01
585,2020-08-18,177.0,80,"1,074",2020-08-01
586,2020-08-20,177.0,34,664,2020-08-01
587,2020-08-25,177.0,100,648,2020-08-01
