,Date,Turnover_euro,Price_euro,Year,Month,Day
93,2019-05-12,3038311.0,0.5710000000000001,2019.0,5.0,12.0
94,2019-05-13,1200637.0,0.5710000000000001,2019.0,5.0,13.0
95,2019-05-14,1784531.0,0.57,2019.0,5.0,14.0
96,2019-05-15,2058921.0,0.579,2019.0,5.0,15.0
97,2019-05-16,4633371.0,0.5670000000000001,2019.0,5.0,16.0
98,2019-05-17,7112672.0,0.624,2019.0,5.0,17.0
99,2019-05-18,2807787.0,0.5579999999999999,2019.0,5.0,18.0
100,2019-05-19,3564599.0,0.5660000000000001,2019.0,5.0,19.0
101,2019-05-20,2758892.0,0.563,2019.0,5.0,20.0
102,2019-05-21,1192157.0,0.565,2019.0,5.0,21.0
103,2019-06-01,884548.0,0.5720000000000001,2019.0,6.0,1.0
104,2019-06-02,2620493.0,0.5770000000000001,2019.0,6.0,2.0
105,2019-06-03,1439710.0,0.58,2019.0,6.0,3.0
106,2019-06-04,994007.0,0.579,2019.0,6.0,4.0
107,2019-06-05,1045271.0,0.5820000000000001,2019.0,6.0,5.0
108,2019-06-06,539256.0,0.578,2019.0,6.0,6.0
109,2019-06-07,1423997.0,0.5770000000000001,2019.0,6.0,7.0
110,2019-06-08,2349473.0,0.5660000000000001,2019.0,6.0,8.0
111,2019-06-09,2290238.0,0.556,2019.0,6.0,9.0
112,2019-06-10,566543.0,0.56,2019.0,6.0,10.0
113,2019-06-11,779679.0,0.5589999999999999,2019.0,6.0,11.0
114,2019-06-12,421706.0,0.5579999999999999,2019.0,6.0,12.0
115,2019-06-13,497870.0,0.556,2019.0,6.0,13.0
116,2019-06-14,635459.0,0.556,2019.0,6.0,14.0
117,2019-06-15,1942319.0,0.569,2019.0,6.0,15.0
118,2019-06-16,1293036.0,0.574,2019.0,6.0,16.0
119,2019-06-17,755224.0,0.57,2019.0,6.0,17.0
120,2019-06-18,1163871.0,0.569,2019.0,6.0,18.0
121,2019-06-19,272744.0,0.561,2019.0,6.0,19.0
122,2019-06-20,215968.0,0.5579999999999999,2019.0,6.0,20.0
123,2019-07-01,377597.0,0.56,2019.0,7.0,1.0
124,2019-07-02,736158.0,0.563,2019.0,7.0,2.0
125,2019-07-03,1664821.0,0.563,2019.0,7.0,3.0
126,2019-07-04,1461672.0,0.5770000000000001,2019.0,7.0,4.0
127,2019-07-05,1162091.0,0.579,2019.0,7.0,5.0
128,2019-07-06,528657.0,0.584,2019.0,7.0,6.0
129,2019-07-07,256541.0,0.589,2019.0,7.0,7.0
130,2019-07-08,610491.0,0.591,2019.0,7.0,8.0
131,2019-07-09,453486.0,0.593,2019.0,7.0,9.0
132,2019-07-10,1470947.0,0.591,2019.0,7.0,10.0
133,2019-07-11,618710.0,0.591,2019.0,7.0,11.0
134,2019-07-12,219669.0,0.59,2019.0,7.0,12.0
135,2019-07-13,1848190.0,0.589,2019.0,7.0,13.0
136,2019-07-14,2118830.0,0.591,2019.0,7.0,14.0
137,2019-07-15,905068.0,0.593,2019.0,7.0,15.0
138,2019-07-16,1865842.0,0.6,2019.0,7.0,16.0
139,2019-07-17,4884126.0,0.599,2019.0,7.0,17.0
140,2019-07-18,1660535.0,0.593,2019.0,7.0,18.0
141,2019-07-19,2165072.0,0.544,2019.0,7.0,19.0
142,2019-07-20,1479950.0,0.541,2019.0,7.0,20.0
143,2019-07-21,1696585.0,0.5479999999999999,2019.0,7.0,21.0
144,2019-07-22,921210.0,0.5479999999999999,2019.0,7.0,22.0
145,2019-08-01,2402729.0,0.5479999999999999,2019.0,8.0,1.0
146,2019-08-02,2178743.0,0.55,2019.0,8.0,2.0
147,2019-08-03,482284.0,0.5479999999999999,2019.0,8.0,3.0
148,2019-08-04,3626444.0,0.552,2019.0,8.0,4.0
149,2019-08-05,6973697.0,0.552,2019.0,8.0,5.0
150,2019-08-06,2674775.0,0.5579999999999999,2019.0,8.0,6.0
151,2019-08-07,3688254.0,0.561,2019.0,8.0,7.0
152,2019-08-08,2557772.0,0.56,2019.0,8.0,8.0
153,2019-08-09,1129074.0,0.5589999999999999,2019.0,8.0,9.0
154,2019-08-10,450337.0,0.5579999999999999,2019.0,8.0,10.0
155,2019-08-11,634854.0,0.5539999999999999,2019.0,8.0,11.0
156,2019-08-12,495082.0,0.5539999999999999,2019.0,8.0,12.0
157,2019-08-13,1023811.0,0.5579999999999999,2019.0,8.0,13.0
158,2019-08-14,466258.0,0.56,2019.0,8.0,14.0
159,2019-08-15,3273825.0,0.557,2019.0,8.0,15.0
160,2019-08-16,133240.0,0.5579999999999999,2019.0,8.0,16.0
161,2019-08-17,940318.0,0.5579999999999999,2019.0,8.0,17.0
162,2019-08-18,3095711.0,0.557,2019.0,8.0,18.0
163,2019-08-19,1697742.0,0.56,2019.0,8.0,19.0
164,2019-09-01,627441.0,0.5579999999999999,2019.0,9.0,1.0
165,2019-09-02,1079824.0,0.5579999999999999,2019.0,9.0,2.0
166,2019-09-03,2235568.0,0.557,2019.0,9.0,3.0
167,2019-09-04,1194654.0,0.5539999999999999,2019.0,9.0,4.0
168,2019-09-05,1084538.0,0.5529999999999999,2019.0,9.0,5.0
169,2019-09-06,4396729.0,0.546,2019.0,9.0,6.0
170,2019-09-07,1739021.0,0.5429999999999999,2019.0,9.0,7.0
171,2019-09-08,1753085.0,0.5539999999999999,2019.0,9.0,8.0
172,2019-09-09,1202633.0,0.556,2019.0,9.0,9.0
173,2019-09-10,726545.0,0.557,2019.0,9.0,10.0
174,2019-09-11,1670928.0,0.5539999999999999,2019.0,9.0,11.0
175,2019-09-12,3588001.0,0.5529999999999999,2019.0,9.0,12.0
176,2019-09-13,1752474.0,0.556,2019.0,9.0,13.0
177,2019-09-14,493463.0,0.557,2019.0,9.0,14.0
178,2019-09-15,2544021.0,0.5589999999999999,2019.0,9.0,15.0
179,2019-09-16,768872.0,0.557,2019.0,9.0,16.0
180,2019-09-17,1930372.0,0.5660000000000001,2019.0,9.0,17.0
181,2019-09-18,1524252.0,0.563,2019.0,9.0,18.0
182,2019-09-19,712611.0,0.5660000000000001,2019.0,9.0,19.0
183,2019-10-01,1464628.0,0.564,2019.0,10.0,1.0
184,2019-10-02,1351402.0,0.563,2019.0,10.0,2.0
185,2019-10-03,189993.0,0.56,2019.0,10.0,3.0
186,2019-10-04,2003522.0,0.551,2019.0,10.0,4.0
187,2019-10-05,2996143.0,0.5479999999999999,2019.0,10.0,5.0
188,2019-10-06,3942507.0,0.547,2019.0,10.0,6.0
189,2019-10-07,2165034.0,0.556,2019.0,10.0,7.0
190,2019-10-08,836514.0,0.561,2019.0,10.0,8.0
191,2019-10-09,1587373.0,0.561,2019.0,10.0,9.0
192,2019-10-10,1324408.0,0.557,2019.0,10.0,10.0
193,2019-10-11,510899.0,0.5579999999999999,2019.0,10.0,11.0
194,2019-10-12,5580014.0,0.5589999999999999,2019.0,10.0,12.0
195,2019-10-13,1032064.0,0.5589999999999999,2019.0,10.0,13.0
196,2019-10-14,664791.0,0.556,2019.0,10.0,14.0
197,2019-10-15,2238590.0,0.556,2019.0,10.0,15.0
198,2019-10-16,1707723.0,0.557,2019.0,10.0,16.0
199,2019-10-17,2076130.0,0.556,2019.0,10.0,17.0
200,2019-10-18,11748156.0,0.556,2019.0,10.0,18.0
201,2019-10-19,657145.0,0.556,2019.0,10.0,19.0
202,2019-10-20,8917370.0,0.557,2019.0,10.0,20.0
203,2019-10-21,916637.0,0.5579999999999999,2019.0,10.0,21.0
204,2019-10-22,12563770.0,0.5579999999999999,2019.0,10.0,22.0
205,2019-11-01,4296621.0,0.561,2019.0,11.0,1.0
206,2019-11-02,475978.0,0.56,2019.0,11.0,2.0
207,2019-11-03,826564.0,0.5589999999999999,2019.0,11.0,3.0
208,2019-11-04,1471464.0,0.56,2019.0,11.0,4.0
209,2019-11-05,1907005.0,0.56,2019.0,11.0,5.0
210,2019-11-06,3718883.0,0.56,2019.0,11.0,6.0
211,2019-11-07,391883.0,0.5589999999999999,2019.0,11.0,7.0
212,2019-11-08,722416.0,0.56,2019.0,11.0,8.0
213,2019-11-09,384379.0,0.5579999999999999,2019.0,11.0,9.0
214,2019-11-10,2009706.0,0.556,2019.0,11.0,10.0
215,2019-11-11,1278841.0,0.556,2019.0,11.0,11.0
216,2019-11-12,996998.0,0.556,2019.0,11.0,12.0
217,2019-11-13,3483967.0,0.5529999999999999,2019.0,11.0,13.0
218,2019-11-14,2408769.0,0.5529999999999999,2019.0,11.0,14.0
219,2019-11-15,1213188.0,0.5529999999999999,2019.0,11.0,15.0
220,2019-11-16,713865.0,0.5529999999999999,2019.0,11.0,16.0
221,2019-11-17,4634569.0,0.563,2019.0,11.0,17.0
222,2019-11-18,4211958.0,0.5770000000000001,2019.0,11.0,18.0
223,2019-11-19,2278008.0,0.5820000000000001,2019.0,11.0,19.0
224,2019-11-20,384146.0,0.579,2019.0,11.0,20.0
225,2019-11-21,2761019.0,0.578,2019.0,11.0,21.0
226,2019-12-01,385397.0,0.5770000000000001,2019.0,12.0,1.0
227,2019-12-02,2825994.0,0.573,2019.0,12.0,2.0
228,2019-12-03,1668395.0,0.565,2019.0,12.0,3.0
229,2019-12-04,4409601.0,0.56,2019.0,12.0,4.0
230,2019-12-05,4523875.0,0.5579999999999999,2019.0,12.0,5.0
231,2019-12-06,650491.0,0.5579999999999999,2019.0,12.0,6.0
232,2019-12-07,416335.0,0.556,2019.0,12.0,7.0
233,2019-12-08,4892882.0,0.5579999999999999,2019.0,12.0,8.0
234,2019-12-09,40154482.0,0.495,2019.0,12.0,9.0
235,2019-12-10,18014720.0,0.461,2019.0,12.0,10.0
236,2019-12-11,7049424.0,0.452,2019.0,12.0,11.0
237,2019-12-12,5954216.0,0.48,2019.0,12.0,12.0
238,2019-12-13,5828307.0,0.49200000000000005,2019.0,12.0,13.0
239,2019-12-14,2434897.0,0.479,2019.0,12.0,14.0
240,2019-12-15,1674334.0,0.48,2019.0,12.0,15.0
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
