Date,VatTax,TaxAmount,TotalAamount,Currency,Category,Supplier ,Company
19-Jun-19,0%,0,"2,614.12",EUR,Account management / card fee,70037,Account management / card fee 
19-Jun-19,19%,322.66,"2,614.12",EUR,Licenses and concessions,70037,Licenses and concessions
19-Jun-19,0%,0,"2,614.12",EUR,Licenses and concessions,70037,Licenses and concessions
19-Jun-19,19%,38.43,"2,614.12",EUR,Air ticket,70037,Car Rent
19-Jun-19,0%,0,"2,614.12",EUR,Air ticket,70037,Car rent
7-May-19,19%,2.55,15.99,EUR,Office supplies,70001,Office Supplies 
7-May-19,0%,0,22.28,EUR,Postage,70001,Postage
28-May-19,0%,0,"1,724.79",EUR,Commercial Lines,70095,Company insurance Vorsorge-Konzept GmbH
26-Jun-19,0%,0,96.56,EUR,Postage,70045,Postage UPS
19-Aug-19,19%,38.78,242.88,EUR,Purchase of materials,70034,Material purchasing FEGA & Schmitt Elektrogroﬂhandel GmbH19.08.2019
1-Jul-19,19%,16.52,103.49,EUR,Fair costs,70100,Fair costs Messe Munchen GmBH
17-Jul-19,0%,0,356.88,EUR,Licenses and concessions,70037,Licenses and concessions
10-Jul-19,19%,3.21,20.11,EUR,Licenses and concessions,70033,Haufe Service Center GmbH
4-Jul-19,19%,2.63,16.49,EUR,Postage,70049,Postage
10-Jul-19,19%,3.21,20.11,EUR,Licenses and concessions,70033,Licenses and concessions
12-Jul-19,0%,0,"3,384.00",EUR,Freelancer,70093, Freelancer Mate Szabo  Software Engineering Szabo 
12-Jul-19,0%,0,812,EUR,Freelancer,70073, Freelance Tamas Soos Szekszard Freelance programming 
23-Jul-19,19%,87.4,547.4,EUR,Accounting fees,70043,Accounting fees
22-Jul-19,0%,0,"3,930.00",EUR,Freelancer,70062,Freelancer Hostandstore OOD 1Vasil Levski str
23-Jul-19,0%,0,"6,900.00",EUR,Freelancer,70061,Hacksoft LTD Sofia
23-Jul-19,0%,0,500,EUR,Material / Goods,70112,Material Purchase Firefly Hybrid Power LTD
23-Jul-19,0%,0,46,EUR,Postage,70049,Postage
23-Jul-19,0%,0,980,EUR,Freelancer,70073, Freelance Tamas Soos Szekszard Freelance programming 
24-Jul-19,0%,0,19.9,EUR,Other vehicle expenses,70111,Other KFZ-costs
24-Jul-19,0%,0,"8,000.00",EUR,Other vehicle expenses,70039,Other transport costs Mr. Patrick Cousins
29-Jul-19,0%,0,893.71,EUR,Payroll and church tax,70001,Payroll and Church Tax Supplier
30-Jul-19,0%,0,"2,047.35",EUR,Payroll and church tax,70001,Payroll and Church Tax Supplier
30-Jul-19,0%,0,"3,232.50",EUR,Freelancer,70062,Freelancer Hostandstore OOD 1Vasil Levski str
30-Jul-19,0%,0,8.8,EUR,Postage,70049,Postage
30-Jul-19,19%,88.83,556.33,EUR,Accounting fees,70043,Accounting fees
9-Aug-19,0%,0,"7,500.00",EUR,Freelancer,70061,Hacksoft LTD Sofia
12-Aug-19,19%,3.21,20.11,EUR,Licenses and concessions,70033,Haufe Service Center GmbH
8-Aug-19,0%,0,"2,466.00",EUR,Freelancer,70093, Freelancer Mate Szabo  Software Engineering Szabo 
9-Aug-19,0%,0,980,EUR,Freelancer,70001, Freelance Tamas Soos Szekszard Freelance programming 
12-Aug-19,0%,0,7.49,EUR,Postage,70049,Postage
19-Aug-19,19%,160.91,"1,118.43",EUR,Licenses and concessions,70037,Licenses and concessions
19-Aug-19,0%,0,"1,118.43",EUR,Licenses and concessions,70037,Licenses and concessions
29-Aug-19,19%,3.08,19.31,EUR,Car Insurance,70095,Motor insurance Vorsorge-Konzept GmbH
28-Aug-19,19%,16.15,101.15,EUR,Fair costs,70107,Fair costs Messe Munchen GmBH
28-Aug-19,0%,0,46.99,EUR,Accommodation costs,70087,Accommodation Airbnb 
29-Aug-19,0%,0,67.34,EUR,Accommodation costs,70087,Accommodation Airbnb 
29-Aug-19,0%,0,219.32,EUR,Air ticket,70087,car rent
2-Sep-19,0%,0,-46.99,EUR,Accommodation costs,70087,Accommodation Airbnb 
10-Sep-19,19%,3.21,20.11,EUR,Licenses and concessions,70033,Haufe Service Center GmbH
8-Mar-19,0%,0,65,EUR,Other expenses,70001,Other costs
8-Mar-19,19%,9.98,65,EUR,Entertainment expenses,70001,Catering costs
5-Sep-19,0%,0,82,EUR,Motor vehicle tax,70110,Motor insurance Vorsorge-Konzept GmbH
9-Sep-19,0%,0,"1,350.00",EUR,Freelancer,70093, Freelancer Mate Szabo  Software Engineering Szabo 
9-Sep-19,0%,0,"3,487.50",EUR,Freelancer,70062,Freelancer Hostandstore OOD 1Vasil Levski str
18-Sep-19,19%,2.66,16.69,EUR,Packing material,70109,Packing material
18-Sep-19,19%,138.74,"1,485.52",EUR,Licenses and concessions,70037,Licenses and concessions
18-Sep-19,0%,0,"1,485.52",EUR,Licenses and concessions,70037,Licenses and concessions
18-Sep-19,0%,0,"1,485.52",EUR,Air ticket,70037,Car rent
19-Sep-19,0%,0,29.97,EUR,Postage,70049,Postage
20-Sep-19,19%,2.65,20.56,EUR,Accommodation costs,70001,Accommodation costs
20-Sep-19,7%,0.26,20.56,EUR,Accommodation costs,70001,Accommodation costs
20-Sep-19,0%,0,115,EUR,Entertainment expenses,70001,Catering costs 
20-Sep-19,19%,17.23,115,EUR,Entertainment expenses,70001,Catering costs 
24-Sep-19,19%,1.2,7.49,EUR,Postage,70049,Postage
