Founding_Year,Job_Title,Salary_Estimate_k,Rating,Company_Name,Location,Size,Type_ownership,Industry,Sector
2011,Business Process Analyst,159,5,"The Resource Collaborative
5.0","New York, NY",50,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,159,3,"The Connors Group, Inc.
3.0","New York, NY",50,Company - Private,Investment Banking & Asset Management,Finance
1851,Business Analyst,159,3.7,"MassMutual
3.7","New York, NY",10000,Company - Private,Insurance Carriers,Insurance
Investment Banking & Asset Management,Business Analyst,159,4.4,"Softcom Systems
4.4","Weehawken, NJ",50,Company - Private,IT Services,Information Technology
1990,Epic Certified Revenue Cycle Analyst,159,4.7,"Dynamic Computing Services
4.7","New York, NY",200,Company - Private,IT Services,Information Technology
2007,Business Analyst,159,4.6,"Delv Global
4.6","New York, NY",50,Company - Private,Investment Banking & Asset Management,Finance
1997,Business Analyst,159,3.6,"Signature Consultants
3.6","Jersey City, NJ",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,159,Investment Banking & Asset Management,OPPENHEIMER & CO,"New York, NY",1000,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
2002,"Salesforce Business Systems Analyst, Advertising",159,3.9,"Roku
3.9","New York, NY",100,Company - Public,IT Services,Information Technology
Investment Banking & Asset Management,Senior Business Analyst,159,4.3,"Flipt
4.3","Jersey City, NJ",1000,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2010,Business Analyst,159,3.8,"United IT Solutions
3.8","New York, NY",50,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,Business Analyst,159,4.3,"ConsultAdd
4.3","New York, NY",200,Company - Private,IT Services,Information Technology
1969,Business Analyst,159,3.6,"TSR Consulting
3.6","New York, NY",50,Company - Public,Staffing & Outsourcing,Business Services
1690,AVP Markets Execution Business Analyst - Project Manager,159,3.8,"Barclays Bank
3.8","New York, NY",10000,Company - Public,Banks & Credit Unions,Finance
2007,Business Analyst,159,3.5,"Veeva Systems
3.5","New York, NY",100,Company - Public,Enterprise Software & Network Solutions,Information Technology
Investment Banking & Asset Management,Business Analyst,159,3,"Neotecra, Inc.
3.0","New York, NY",1000,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,Business Analyst - IT,159,4.2,"SoHo Dragon
4.2","New York, NY",50,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
1989,Business Analyst,159,4.2,"Eliassen Group
4.2","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,159,2.6,"Oppenheimer & Co. Inc.
2.6","New York, NY",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
1984,Business Analyst,159,4.1,"Mitchell Martin
4.1","New York, NY",1000,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,135,Investment Banking & Asset Management,Pierce Technology Corp,"New York, NY",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,135,3.9,"Insigma Inc
3.9","Jersey City, NJ",50,Company - Private,Computer Hardware & Software,Information Technology
Investment Banking & Asset Management,Business Analyst,135,4.6,"Conch Technologies, Inc
4.6","New York, NY",200,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,Business Analyst,135,2.9,"NTT DATA, Inc.
2.9","New York, NY",50,Company - Private,Accounting,Accounting & Legal
Investment Banking & Asset Management,Business Analyst,135,3.4,"DatamanUSA
3.4","New York, NY",200,Company - Private,IT Services,Information Technology
1856,Business Systems Analyst,135,3.3,"M&T Bank Corporation
3.3","New York, NY",10000,Company - Public,Banks & Credit Unions,Finance
2007,"Senior Analyst, Customer Success Operations",135,3.6,"Brandwatch
3.6","New York, NY",1000,Company - Private,Enterprise Software & Network Solutions,Information Technology
Investment Banking & Asset Management,Business Analyst,135,3.2,"Crescens Inc.
3.2","New York, NY",50,Company - Private,Advertising & Marketing,Business Services
1871,Business Analyst,135,3.5,"Marsh
3.5","Hoboken, NJ",10000,Subsidiary_ Business_Segment,Insurance Agencies & Brokerages,Insurance
1994,Business Analyst,135,3.5,"American Modern Insurance Group
3.5","New York, NY",500,Subsidiary_ Business_Segment,Insurance Carriers,Insurance
1985,Business Analyst,135,3,"RMS Computer Corp.
3.0","New York, NY",200,Company - Private,Computer Hardware & Software,Information Technology
2003,Business Analyst,135,3,"The Accuro Group
3.0","New York, NY",50,Company - Private,Staffing & Outsourcing,Business Services
1999,"Senior Business Analyst, Platform Services",135,4.3,"Medidata Solutions
4.3","New York, NY",100,Company - Public,Enterprise Software & Network Solutions,Information Technology
2004,Business Analyst,135,3.9,"Ampcus Incorporated
3.9","New York, NY",1000,Company - Private,Consulting,Business Services
1994,"Business Analyst, Delivery Ops",135,3.9,"Amazon
3.9","New York, NY",10000,Company - Public,Internet,Information Technology
1984,Technical Business Analyst - Contract Role,135,4.1,"Mitchell Martin
4.1","New York, NY",1000,Company - Private,Staffing & Outsourcing,Business Services
1990,Business Data Analyst,135,3.6,"Xoriant Corporation
3.6","Jersey City, NJ",100,Company - Private,IT Services,Information Technology
1998,Business Analyst,135,3.5,"HUB International
3.5","New York, NY",10000,Company - Private,Insurance Agencies & Brokerages,Insurance
2000,Business Analyst,135,3.8,"BBR Partners
3.8","New York, NY",200,Company - Private,Investment Banking & Asset Management,Finance
2000,Revenue Ops Analyst,135,3.5,"SmartLinx Solutions
3.5","Iselin, NJ",200,Company - Private,Enterprise Software & Network Solutions,Information Technology
1957,Business Analyst,135,3.3,"Ross Stores
3.3","New York, NY",10000,Company - Public,"Department, Clothing, & Shoe Stores",Retail
1994,Business Analyst,135,3.7,"Cognizant
3.7","Teaneck, NJ",10000,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
2006,Analyst - Business,135,3.4,"AMC Networks
3.4","New York, NY",100,Company - Public,TV Broadcast & Cable Networks,Media
1994,Business Analyst,135,4.6,"EDI Staffing
4.6","New York, NY",200,Company - Private,Staffing & Outsourcing,Business Services
1865,Business Analyst,135,3.7,"HSBC
3.7","New York, NY",10000,Company - Public,Banks & Credit Unions,Finance
2007,Senior Business Analyst,135,4.6,"Delv
4.6","New York, NY",1000,Company - Private,Investment Banking & Asset Management,Finance
Investment Banking & Asset Management,Business Analyst,135,Investment Banking & Asset Management,Options City,"New York, NY",50,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,135,Investment Banking & Asset Management,"TSR Consulting Services, Inc.","New York, NY",10,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
1983,Business Analyst,135,4.3,"DATA Inc.
4.3","New York, NY",1000,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Business Analyst,135,Investment Banking & Asset Management,zb.io,"New York, NY",50,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,82,Investment Banking & Asset Management,Recruiting Pals,"New York, NY",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,82,Investment Banking & Asset Management,Sky I.T. Group (Sky Business Intelligence Team),"New York, NY",50,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
1995,Business Analyst,82,3.8,"Apex Systems
3.8","New York, NY",100,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
1997,Business Analyst,82,3.5,"L&T Infotech
3.5","Jersey City, NJ",10000,Company - Public,IT Services,Information Technology
1999,Senior Business Analyst,82,3.7,"emids
3.7","New York, NY",10000,Company - Private,IT Services,Information Technology
1979,E-Commerce Business Analyst,82,4.1,"Adorama
4.1","New York, NY",10000,Company - Private,Consumer Electronics & Appliances Stores,Retail
1836,Business Analyst,82,3.2,"Wolters Kluwer
3.2","New York, NY",10000,Company - Public,Consulting,Business Services
1999,Business Analyst,82,4,"Genesis10
4.0","New York, NY",10000,Company - Private,Consulting,Business Services
1996,Senior Business Analyst (Front Office),82,3.4,"SMBC Group
3.4","New York, NY",10000,Company - Public,Investment Banking & Asset Management,Finance
1999,Business Analyst,82,3.2,"Atlas Data Systems
3.2","New York, NY",10000,Company - Private,Staffing & Outsourcing,Business Services
1875,Business Systems Analyst,82,3.6,"Prudential
3.6","Newark, NJ",10000,Company - Public,Investment Banking & Asset Management,Finance
Investment Banking & Asset Management,Business Analyst,82,4.5,"Orpine, Inc.
4.5","New York, NY",10000,Company - Private,Consulting,Business Services
Investment Banking & Asset Management,Business Analyst,82,1,"Sphinix Network Solutions Inc.
1.0","New York, NY",200,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,Business Analyst,82,4.4,"ZDAAS
4.4","New York, NY",200,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2011,Business Analyst,82,4.8,"TechProjects
4.8","New York, NY",200,Company - Private,IT Services,Information Technology
1968,Business Analyst,82,3.8,"Tata Consultancy Services
3.8","Newark, NJ",10000,Company - Public,Computer Hardware & Software,Information Technology
2000,Business Analyst,82,3.5,"Arch Capital Group Ltd.
3.5","Jersey City, NJ",10000,Company - Public,Insurance Carriers,Insurance
2003,Business Analyst,82,4.2,"NJF Global Holdings
4.2","New York, NY",10000,Company - Private,Staffing & Outsourcing,Business Services
1999,Business Analyst,82,3.5,"Eclaro
3.5","New York, NY",10000,Company - Private,Staffing & Outsourcing,Business Services
1888,Senior Business Analyst,82,3.8,"S&P Global
3.8","New York, NY",10000,Company - Public,Financial Analytics & Research,Finance
1922,Business Analyst,82,3.4,"Guy Carpenter
3.4","Hoboken, NJ",10000,Subsidiary_ Business_Segment,Insurance Agencies & Brokerages,Insurance
Investment Banking & Asset Management,Business Analyst,82,3.1,"Expedite Technology
3.1","New York, NY",50,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2001,Business Analyst,82,3.6,"Synechron
3.6","New York, NY",50,Company - Private,IT Services,Information Technology
1916,Business Analyst,82,2.7,"Municipal Credit Union
2.7","New York, NY",50,Nonprofit Organization,Banks & Credit Unions,Finance
1852,Business Analyst,82,3.7,"Mills College
3.7","New York, NY",50,College / University,Colleges & Universities,Education
2005,Business Analyst,82,4.1,"Infomatics Corp
4.1","Weehawken, NJ",50,Company - Private,Consulting,Business Services
1984,Senior Business Systems Analyst,82,3.3,"Centene
3.3","Rego Park, NY",50,Company - Public,Insurance Carriers,Insurance
Investment Banking & Asset Management,Business Analyst,82,3.9,"Silver Search Inc
3.9","New York, NY",50,Contract,Staffing & Outsourcing,Business Services
2001,Sr. Business Analyst (Capital Markets),82,3.6,"Synechron
3.6","New York, NY",50,Company - Private,IT Services,Information Technology
Investment Banking & Asset Management,"Senior Data Analyst (E-commerce, Marketing)",82,Investment Banking & Asset Management,JR Cigar/MC Management,"Whippany, NJ",50,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,92,4.1,"Polished Technologies
4.1","New York, NY",50,Company - Private,Chemical Manufacturing,Manufacturing
2014,Data Analyst,92,3.9,"Point72
3.9","New York, NY",50,Company - Private,Investment Banking & Asset Management,Finance
2002,Business Analyst,92,3.9,"Diverse Lynx
3.9","New York, NY",50,Company - Private,IT Services,Information Technology
1818,Senior Business Analyst,92,3.3,"Brown Brothers Harriman
3.3","New York, NY",50,Company - Private,Investment Banking & Asset Management,Finance
1968,Business Analyst,92,3.7,"Tata Consultancy Services (North America)
3.7","Newark, NJ",50,Subsidiary_ Business_Segment,IT Services,Information Technology
Investment Banking & Asset Management,Business Analyst,92,Investment Banking & Asset Management,MLWIZ Team,"New York, NY",200,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
2000,Business Analyst,92,3.6,"Iconma, L.L.C.
3.6","Newark, NJ",200,Company - Private,Staffing & Outsourcing,Business Services
1984,Senior Business Analyst,92,4.1,"Mitchell Martin
4.1","New York, NY",200,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,92,Investment Banking & Asset Management,Babbel - NYC,"New York, NY",200,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,92,Investment Banking & Asset Management,EWS Systems,"New York, NY",200,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,92,4.8,"Vastek, Inc.
4.8","New York, NY",200,Contract,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Systems Analyst,92,Investment Banking & Asset Management,Recruithook,"Paramus, NJ",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst II,92,3.6,"Randstad
3.6","New York, NY",100,Subsidiary_ Business_Segment,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,92,3.8,"Synaptein Solutions Inc.
3.8","New York, NY",50,Company - Private,Accounting,Accounting & Legal
1996,Business Analyst,92,3.1,"Seven Seven Softwares
3.1","New York, NY",50,Company - Public,IT Services,Information Technology
1992,Business Analyst,92,5,"Creative Data Resources
5.0","New York, NY",50,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,92,Investment Banking & Asset Management,Zenart,"New York, NY",50,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
2008,Business Analyst,92,3.4,"HHAeXchange
3.4","New York, NY",50,Company - Private,Enterprise Software & Network Solutions,Information Technology
2004,Business Analyst,92,4.5,"Green Key Resources
4.5","New York, NY",50,Company - Private,Staffing & Outsourcing,Business Services
2006,Business Analyst,92,3.3,"V.L.S. Systems
3.3","New York, NY",50,Company - Private,Consulting,Business Services
1998,Business Analyst - Data Governance,92,4,"Rockstar Games
4.0","New York, NY",50,Subsidiary_ Business_Segment,Video Games,Media
1967,Business Analyst,92,3.8,"Capgemini
3.8","New York, NY",50,Company - Public,Enterprise Software & Network Solutions,Information Technology
Investment Banking & Asset Management,Business Analyst,92,Investment Banking & Asset Management,C&G Consulting Services,"Hoboken, NJ",50,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
1919,Senior Business Analyst,92,3.7,"The New School
3.7","New York, NY",50,College / University,Colleges & Universities,Education
Investment Banking & Asset Management,Business Analyst,92,4,"Lorven Technologies Inc
4.0","New York, NY",200,Company - Private,Accounting,Accounting & Legal
1978,Business Analyst,92,3.5,"Formosa Plastics Corp.
3.5","Livingston, NJ",200,Subsidiary_ Business_Segment,Chemical Manufacturing,Manufacturing
1995,Business Analyst,92,2.6,"TTI of USA, Inc.
2.6","New York, NY",200,Company - Private,Staffing & Outsourcing,Business Services
1957,Business Analyst,92,3.1,"Acara Solutions
3.1","New York, NY",200,Company - Private,Staffing & Outsourcing,Business Services
1906,Business Analyst,92,3.2,"Metropolitan Jewish Health System
3.2","Brooklyn, NY",200,Nonprofit Organization,Health Care Services & Hospitals,Health Care
Investment Banking & Asset Management,Business Analyst,92,Investment Banking & Asset Management,Ann Enterprises Inc,"New York, NY",200,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
1961,"Intern, IT Business Analyst",85,3.2,"Vera Institute of Justice
3.2","Brooklyn, NY",200,Nonprofit Organization,Social Assistance,Non-Profit
Investment Banking & Asset Management,Business Analyst,85,Investment Banking & Asset Management,DedicatedInfra,"Jersey City, NJ",200,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,85,3.7,"The Jewish Federations of North America
3.7","New York, NY",200,Nonprofit Organization,Religious Organizations,Non-Profit
Investment Banking & Asset Management,Business Analyst,85,3.5,"Watermark (NY)
3.5","New York, NY",200,Company - Private,Colleges & Universities,Education
2001,Business Analyst,85,4.4,"Talon
4.4","New York, NY",200,Company - Private,Staffing & Outsourcing,Business Services
1984,"Senior Analyst - Financial Planning, System Solutions & Automation",85,3.2,"Geller & Company
3.2","New York, NY",200,Company - Private,Investment Banking & Asset Management,Finance
2017,Commercial Lending Business Analyst,85,3.2,"Finastra
3.2","New York, NY",200,Company - Private,Financial Transaction Processing,Finance
2010,Business Analyst,85,2.8,"Gate Staffing LLC
2.8","New York, NY",100,Self-employed,IT Services,Information Technology
Investment Banking & Asset Management,Business Analyst,85,2.5,"Veterans Sourcing Group
2.5","New York, NY",100,Company - Private,IT Services,Information Technology
2005,Business Analyst,85,3.3,"PROLIM Global Corporation
3.3","New York, NY",100,Company - Private,Enterprise Software & Network Solutions,Information Technology
Investment Banking & Asset Management,Business System Analyst,85,Investment Banking & Asset Management,Resource1,"Newark, NJ",100,Company - Public,Investment Banking & Asset Management,Investment Banking & Asset Management
2006,Business Systems Analyst,85,4.7,"Staid Logic LLC
4.7","New York, NY",100,Company - Private,IT Services,Information Technology
1994,Business Analyst,85,3.5,"ZT Systems
3.5","Secaucus, NJ",100,Company - Private,Computer Hardware & Software,Information Technology
Investment Banking & Asset Management,Business Analyst,85,5,"Data Cloud Merge
5.0","Jersey City, NJ",100,Company - Private,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Analyst,85,3.9,"IT Trailblazers
3.9","New York, NY",100,Company - Private,Consulting,Business Services
1999,Business Analyst,85,3.8,"Saven Technologies Inc.
3.8","South Plainfield, NJ",100,Company - Private,IT Services,Information Technology
2000,"Senior Analyst, Analytics",85,2.7,"A Place for Mom
2.7","New York, NY",100,Company - Private,Health Care Services & Hospitals,Health Care
1997,Business Analyst,85,3.7,"22nd Century Technologies
3.7","Brooklyn, NY",100,Company - Private,IT Services,Information Technology
2011,"Restructuring Advisory, Analyst",85,3.6,"Teneo
3.6","New York, NY",100,Company - Private,Consulting,Business Services
2000,Digital Analyst,85,2.7,"A Place for Mom
2.7","New York, NY",100,Company - Private,Health Care Services & Hospitals,Health Care
1987,Business Analyst - Commercial Lending,85,5,"Blue Horizon Tek Solutions
5.0","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
Investment Banking & Asset Management,Business Analyst,85,Investment Banking & Asset Management,Kforce Technology Staffing,"Madison, NJ",100,Investment Banking & Asset Management,Investment Banking & Asset Management,Investment Banking & Asset Management
Investment Banking & Asset Management,Business Systems Analyst,85,5,"Softova
5.0","Iselin, NJ",100,Company - Private,IT Services,Information Technology
2009,Entry-Level Recruitment Analyst,85,3.8,"Wynden Stark
3.8","New York, NY",100,Company - Private,Staffing & Outsourcing,Business Services
