Year,Month,Day,Season,Hour,Day_Time,Price,Number_Bikes,holiday,weekday,workingday,weather_forecast
2020,Apr,22,spring,20,Morgen,1506,177,0,Saturday,Yes,poor
2020,Apr,23,spring,21,Morgen,2574,462,0,Sunday,No,poor
2020,Apr,24,spring,22,Morgen,2481,710,0,Monday,No,poor
2020,Apr,25,spring,23,Mittag,3300,773,0,Tuesday,Yes,very good
2020,Apr,26,spring,0,Mittag,3722,678,0,Wednesday,Yes,very good
2020,Apr,27,spring,1,Morgen,3325,547,0,Thursday,Yes,poor
2020,Apr,28,spring,2,Morgen,3489,569,0,Friday,Yes,poor
2020,Apr,29,spring,4,Mittag,3717,878,0,Saturday,Yes,very good
2020,Apr,30,spring,5,Mittag,3347,965,0,Sunday,No,very good
2020,May,1,spring,6,Morgen,2213,138,0,Monday,No,poor
2020,May,2,spring,7,Morgen,3554,847,0,Tuesday,Yes,poor
2020,May,3,spring,8,Morgen,3848,603,0,Wednesday,Yes,poor
2020,May,4,spring,9,Morgen,2378,255,0,Thursday,Yes,poor
2020,May,5,spring,10,Mittag,3819,614,0,Friday,Yes,very good
2020,May,6,spring,11,Mittag,3714,894,0,Saturday,Yes,very good
2020,May,7,spring,12,Mittag,3102,612,0,Sunday,No,very good
2020,May,8,spring,13,Mittag,2932,  ,0,Monday,No,very good
2020,May,9,spring,14,Mittag,3698,664,0,Tuesday,Yes,very good
2020,May,10,spring,15,Mittag,4109,694,0,Wednesday,Yes,very good
2020,May,11,spring,16,Mittag,3632,550,0,Thursday,Yes,very good
2020,May,12,spring,17,Mittag,4169,695,0,Friday,Yes,very good
2020,May,13,spring,18,Morgen,3413,692,0,Saturday,Yes,poor
2020,May,14,spring,19,Morgen,2507,902,0,Sunday,No,poor
2020,May,15,spring,20,Morgen,2971,582,0,Monday,No,poor
2020,May,16,spring,21,Mittag,3185,773,0,Tuesday,Yes,very good
2020,May,17,spring,22,Morgen,3445,678,0,Wednesday,Yes,poor
2020,May,18,spring,23,Morgen,3319,536,0,Thursday,Yes,poor
2020,May,19,spring,0,Morgen,3840,735,0,Friday,Yes,poor
2020,May,20,spring,1,Mittag,4008,909,0,Saturday,Yes,very good
2020,May,21,spring,2,Mittag,3547,258,0,Sunday,No,very good
2020,May,22,spring,4,Mittag,3084,1576,0,Monday,No,very good
2020,May,23,spring,5,Morgen,3438,836,0,Tuesday,Yes,poor
2020,May,24,spring,6,Morgen,3833,659,0,Wednesday,Yes,poor
2020,May,25,spring,7,Mittag,4238,740,0,Thursday,Yes,very good
2020,May,26,spring,8,Mittag,3919,758,0,Friday,Yes,very good
2020,May,27,spring,9,Mittag,3808,871,0,Saturday,Yes,very good
2020,May,28,spring,10,Mittag,2757,2001,0,Sunday,No,very good
2020,May,29,spring,11,Mittag,2433,2355,0,Monday,No,very good
2020,May,30,spring,12,Mittag,2549,1549,1,Tuesday,No,very good
2020,May,31,spring,13,Mittag,3309,673,0,Wednesday,Yes,very good
2020,Jun,1,spring,14,Morgen,3461,513,0,Thursday,Yes,poor
2020,Jun,2,spring,15,Mittag,4232,736,0,Friday,Yes,very good
2020,Jun,3,spring,16,Mittag,4414,898,0,Saturday,Yes,very good
2020,Jun,4,spring,17,Mittag,3473,869,0,Sunday,No,very good
2020,Jun,5,spring,18,Morgen,3221,685,0,Monday,No,poor
2020,Jun,6,spring,19,Mittag,3875,673,0,Tuesday,Yes,very good
2020,Jun,7,spring,20,Mittag,4070,763,0,Wednesday,Yes,very good
2020,Jun,8,spring,21,Mittag,3725,676,0,Thursday,Yes,very good
2020,Jun,9,spring,22,Morgen,3352,563,0,Friday,Yes,poor
2020,Jun,10,spring,23,Mittag,3771,815,0,Saturday,Yes,very good
2020,Jun,11,spring,0,Mittag,3237,729,0,Sunday,No,very good
2020,Jun,12,spring,1,Mittag,2993,67,0,Monday,No,very good
2020,Jun,13,spring,2,Mittag,4157,863,0,Tuesday,Yes,very good
2020,Jun,14,spring,3,Mittag,4164,727,0,Wednesday,Yes,very good
2020,Jun,15,spring,4,Mittag,4411,769,0,Thursday,Yes,very good
2020,Jun,16,spring,5,Morgen,3222,545,0,Friday,Yes,poor
2020,Jun,17,spring,6,Mittag,3981,863,0,Saturday,Yes,very good
2020,Jun,18,spring,7,Mittag,3312,807,0,Sunday,No,very good
2020,Jun,19,spring,8,Morgen,3105,639,0,Monday,No,poor
2020,Jun,20,spring,9,Morgen,3311,699,0,Tuesday,Yes,poor
2020,Jun,21,summer,10,Morgen,4061,774,0,Wednesday,Yes,poor
2020,Jun,22,summer,11,Mittag,3846,661,0,Thursday,Yes,very good
2020,Jun,23,summer,12,Morgen,4044,746,0,Friday,Yes,poor
2020,Jun,24,summer,13,Mittag,4022,969,0,Saturday,Yes,very good
2020,Jun,25,summer,14,Mittag,3420,782,0,Sunday,No,very good
2020,Jun,26,summer,15,Mittag,3385,920,0,Monday,No,very good
2020,Jun,27,summer,16,Morgen,3854,854,0,Tuesday,Yes,poor
2020,Jun,28,summer,17,Mittag,3916,732,0,Wednesday,Yes,very good
2020,Jun,29,summer,18,Mittag,4377,848,0,Thursday,Yes,very good
2020,Jun,30,summer,19,Mittag,4488,27,0,Friday,Yes,very good
2020,Jul,1,summer,20,Mittag,4116,246,0,Saturday,Yes,very good
2020,Jul,2,summer,21,Mittag,2915,204,0,Sunday,No,very good
2020,Jul,3,summer,22,Morgen,2367,282,0,Monday,No,poor
2020,Jul,4,summer,23,Morgen,2978,365,1,Tuesday,No,poor
2020,Jul,5,summer,0,Mittag,3634,131,0,Wednesday,Yes,very good
2020,Jul,6,summer,1,Mittag,3845,784,0,Thursday,Yes,very good
2020,Jul,7,summer,2,Mittag,3838,754,0,Friday,Yes,very good
2020,Jul,8,summer,3,Morgen,3348,692,0,Saturday,Yes,poor
2020,Jul,9,summer,4,Mittag,3348,188,0,Sunday,No,very good
2020,Jul,10,summer,5,Mittag,3138,743,0,Monday,No,very good
2020,Jul,11,summer,6,Mittag,3363,723,0,Tuesday,Yes,very good
2020,Jul,12,summer,7,Mittag,3596,662,0,Wednesday,Yes,very good
2020,Jul,13,summer,8,Mittag,3594,748,0,Thursday,Yes,very good
2020,Jul,14,summer,9,Mittag,4196,888,0,Friday,Yes,very good
2020,Jul,15,summer,10,Mittag,4220,318,0,Saturday,Yes,very good
2020,Jul,16,summer,11,Mittag,3505,418,0,Sunday,No,very good
2020,Jul,17,summer,12,Mittag,3296,206,0,Monday,No,very good
2020,Jul,18,summer,13,Mittag,3617,841,0,Tuesday,Yes,very good
2020,Jul,19,summer,14,Mittag,3789,752,0,Wednesday,Yes,very good
2020,Jul,20,summer,15,Mittag,3688,644,0,Thursday,Yes,very good
2020,Jul,21,summer,16,Morgen,3152,632,0,Friday,Yes,poor
2020,Jul,22,summer,17,Mittag,2825,562,0,Saturday,Yes,very good
2020,Jul,23,summer,18,Mittag,2298,987,0,Sunday,No,very good
2020,Jul,24,summer,19,Mittag,2556,105,0,Monday,No,very good
2020,Jul,25,summer,20,Mittag,3272,568,0,Tuesday,Yes,very good
2020,Jul,26,summer,21,Mittag,3840,750,0,Wednesday,Yes,very good
2020,Jul,27,summer,22,Mittag,3901,755,0,Thursday,Yes,very good
2020,Jul,28,summer,23,Mittag,3784,606,0,Friday,Yes,very good
2020,Jul,29,summer,0,Mittag,3176,670,0,Saturday,Yes,very good
2020,Jul,30,summer,1,Mittag,2916,155,0,Sunday,No,very good
2020,Jul,31,summer,2,Mittag,2778,152,0,Monday,No,very good
2020,Aug,1,summer,3,Mittag,3537,729,0,Tuesday,Yes,very good
2020,Aug,2,summer,4,Mittag,4044,801,0,Wednesday,Yes,very good
2020,Aug,3,summer,5,Morgen,3107,467,0,Thursday,Yes,poor
2020,Aug,4,summer,6,Morgen,3777,799,0,Friday,Yes,poor
2020,Aug,5,summer,7,Mittag,3843,102,0,Saturday,Yes,very good
2020,Aug,6,summer,8,Morgen,2773,152,0,Sunday,No,poor
2020,Aug,7,summer,9,Mittag,2487,129,0,Monday,No,very good
2020,Aug,8,summer,10,Mittag,3480,846,0,Tuesday,Yes,very good
2020,Aug,9,summer,11,Mittag,3695,907,0,Wednesday,Yes,very good
2020,Aug,10,summer,12,Mittag,3896,884,0,Thursday,Yes,very good
2020,Aug,11,summer,13,Mittag,3980,812,0,Friday,Yes,very good
2020,Aug,12,summer,14,Mittag,3854,105,0,Saturday,Yes,very good
2020,Aug,13,summer,15,Morgen,2646,150,0,Sunday,No,poor
2020,Aug,14,summer,16,Morgen,2482,133,0,Monday,No,poor
2020,Aug,15,summer,17,Mittag,3563,775,0,Tuesday,Yes,very good
2020,Aug,16,summer,18,Mittag,4004,721,0,Wednesday,Yes,very good
2020,Aug,17,summer,19,Mittag,4026,668,0,Thursday,Yes,very good
2020,Aug,18,summer,20,Mittag,3166,639,0,Friday,Yes,very good
2020,Aug,19,summer,21,Morgen,3356,797,0,Saturday,Yes,poor
2020,Aug,20,summer,22,Mittag,3277,191,0,Sunday,No,very good
2020,Aug,21,summer,23,Mittag,2624,124,0,Monday,No,very good
2020,Aug,22,summer,0,Mittag,3925,833,0,Tuesday,Yes,very good
2020,Aug,23,summer,1,Mittag,4614,128,0,Wednesday,Yes,very good
2020,Aug,24,summer,2,Mittag,4181,949,0,Thursday,Yes,very good
2020,Aug,25,summer,5,Morgen,3107,435,0,Friday,Yes,poor
2020,Aug,26,summer,6,Mittag,3893,768,0,Saturday,Yes,very good
2020,Aug,27,summer,7,Morgen,889,226,0,Sunday,No,poor
2020,Aug,28,summer,8,Mittag,2919,141,0,Monday,No,very good
2020,Aug,29,summer,9,Mittag,3905,729,0,Tuesday,Yes,very good
2020,Aug,30,summer,10,Mittag,4429,775,0,Wednesday,Yes,very good
2020,Aug,31,summer,11,Mittag,4370,688,0,Thursday,Yes,very good
2020,Sep,1,summer,12,Mittag,4332,783,0,Friday,Yes,very good
2020,Sep,2,summer,13,Morgen,3852,875,0,Saturday,Yes,poor
2020,Sep,3,summer,14,Mittag,2549,193,0,Sunday,No,very good
2020,Sep,4,summer,15,Mittag,2419,252,0,Monday,No,very good
2020,Sep,5,summer,16,Morgen,2115,123,1,Tuesday,No,poor
2020,Sep,6,summer,17,Abend,2506,204,0,Wednesday,Yes,very poor
2020,Sep,7,summer,18,Abend,1878,118,0,Thursday,Yes,very poor
2020,Sep,8,summer,19,Abend,1689,153,0,Friday,Yes,very poor
2020,Sep,9,summer,20,Morgen,3127,417,0,Saturday,Yes,poor
2020,Sep,10,summer,21,Mittag,3595,175,0,Sunday,No,very good
2020,Sep,11,summer,22,Mittag,3413,163,0,Monday,No,very good
2020,Sep,12,summer,23,Mittag,4023,690,0,Tuesday,Yes,very good
2020,Sep,13,summer,0,Mittag,4062,701,0,Wednesday,Yes,very good
2020,Sep,14,summer,1,Mittag,4138,647,0,Thursday,Yes,very good
2020,Sep,15,summer,2,Morgen,3231,428,0,Friday,Yes,poor
2020,Sep,16,summer,5,Morgen,4018,742,0,Saturday,Yes,poor
2020,Sep,17,summer,6,Morgen,3077,14,0,Sunday,No,poor
2020,Sep,18,summer,7,Mittag,2921,13,0,Monday,No,very good
2020,Sep,19,summer,8,Morgen,3848,69,0,Tuesday,Yes,poor
2020,Sep,20,summer,9,Morgen,3203,438,0,Wednesday,Yes,poor
2020,Sep,21,summer,10,Morgen,3813,539,0,Thursday,Yes,poor
2020,Sep,22,summer,11,Morgen,4240,555,0,Friday,Yes,poor
2020,Sep,23,autumn,12,Morgen,2137,258,0,Saturday,Yes,poor
2020,Sep,24,autumn,13,Morgen,3647,17,0,Sunday,No,poor
2020,Sep,25,autumn,14,Morgen,3466,15,0,Monday,No,poor
2020,Sep,26,autumn,15,Morgen,3946,68,0,Tuesday,Yes,poor
2020,Sep,27,autumn,16,Morgen,3643,477,0,Wednesday,Yes,poor
2020,Sep,28,autumn,17,Morgen,3427,480,0,Thursday,Yes,poor
2020,Sep,29,autumn,18,Mittag,4186,653,0,Friday,Yes,very good
2020,Sep,30,autumn,19,Mittag,4372,830,0,Saturday,Yes,very good
2020,Okt,1,autumn,20,Morgen,1949,480,0,Sunday,No,poor
2020,Okt,2,autumn,21,Morgen,2302,616,0,Monday,No,poor
2020,Okt,3,autumn,22,Morgen,3240,330,0,Tuesday,Yes,poor
2020,Okt,4,autumn,23,Mittag,3970,486,0,Wednesday,Yes,very good
2020,Okt,5,autumn,0,Mittag,4267,559,0,Thursday,Yes,very good
2020,Okt,6,autumn,1,Mittag,4126,639,0,Friday,Yes,very good
2020,Okt,7,autumn,2,Mittag,4036,949,0,Saturday,Yes,very good
2020,Okt,8,autumn,3,Mittag,3174,223,0,Sunday,No,very good
2020,Okt,9,autumn,4,Mittag,3114,23,0,Monday,No,very good
2020,Okt,10,autumn,5,Mittag,3603,15,1,Tuesday,No,very good
2020,Okt,11,autumn,6,Morgen,3896,667,0,Wednesday,Yes,poor
2020,Okt,12,autumn,7,Abend,2199,217,0,Thursday,Yes,very poor
2020,Okt,13,autumn,8,Morgen,2623,290,0,Friday,Yes,poor
2020,Okt,14,autumn,9,Morgen,3115,529,0,Saturday,Yes,poor
2020,Okt,15,autumn,10,Mittag,3318,18,0,Sunday,No,very good
2020,Okt,16,autumn,11,Mittag,3293,174,0,Monday,No,very good
2020,Okt,17,autumn,12,Mittag,3857,713,0,Tuesday,Yes,very good
2020,Okt,18,autumn,13,Morgen,4111,637,0,Wednesday,Yes,poor
2020,Okt,19,autumn,14,Abend,2170,254,0,Thursday,Yes,very poor
2020,Okt,20,autumn,15,Mittag,3724,471,0,Friday,Yes,very good
2020,Okt,21,autumn,16,Mittag,3628,676,0,Saturday,Yes,very good
2020,Okt,22,autumn,17,Mittag,2809,14,0,Sunday,No,very good
2020,Okt,23,autumn,18,Mittag,2762,16,0,Monday,No,very good
2020,Okt,24,autumn,19,Mittag,3488,69,0,Tuesday,Yes,very good
2020,Okt,25,autumn,20,Mittag,3992,69,0,Wednesday,Yes,very good
2020,Okt,26,autumn,21,Morgen,3490,40,0,Thursday,Yes,poor
2020,Okt,27,autumn,22,Morgen,2419,24,0,Friday,Yes,poor
2020,Okt,28,autumn,23,Morgen,3291,456,0,Saturday,Yes,poor
2020,Okt,29,autumn,0,Abend,570,57,0,Sunday,No,very poor
2020,Okt,30,autumn,1,Mittag,2446,88,0,Monday,No,very good
2020,Okt,31,autumn,2,Mittag,3307,37,0,Tuesday,Yes,very good
2020,Nov,1,autumn,3,Mittag,3658,410,0,Wednesday,Yes,very good
2020,Nov,2,autumn,5,Mittag,3816,370,0,Thursday,Yes,very good
2020,Nov,3,autumn,6,Mittag,3656,318,0,Friday,Yes,very good
2020,Nov,4,autumn,7,Morgen,3576,470,0,Saturday,Yes,poor
2020,Nov,5,autumn,8,Mittag,2770,115,0,Sunday,No,very good
2020,Nov,6,autumn,9,Mittag,2697,95,0,Monday,No,very good
2020,Nov,7,autumn,10,Mittag,3662,373,0,Tuesday,Yes,very good
2020,Nov,8,autumn,11,Mittag,3829,376,0,Wednesday,Yes,very good
2020,Nov,9,autumn,12,Mittag,3804,305,0,Thursday,Yes,very good
2020,Nov,10,autumn,13,Morgen,2743,190,0,Friday,Yes,poor
2020,Nov,11,autumn,14,Mittag,2928,440,1,Saturday,No,very good
2020,Nov,12,autumn,15,Mittag,2792,127,0,Sunday,No,very good
2020,Nov,13,autumn,16,Mittag,2713,100,0,Monday,No,very good
2020,Nov,14,autumn,17,Mittag,3891,595,0,Tuesday,Yes,very good
2020,Nov,15,autumn,18,Morgen,3746,449,0,Wednesday,Yes,poor
2020,Nov,16,autumn,19,Abend,1672,145,0,Thursday,Yes,very poor
2020,Nov,17,autumn,20,Morgen,2914,139,0,Friday,Yes,poor
2020,Nov,18,autumn,21,Mittag,3147,245,0,Saturday,Yes,very good
2020,Nov,19,autumn,22,Mittag,2720,943,0,Sunday,No,very good
2020,Nov,20,autumn,23,Morgen,2733,787,0,Monday,No,poor
2020,Nov,21,autumn,0,Abend,2545,220,0,Tuesday,Yes,very poor
2020,Nov,22,autumn,1,Abend,1538,69,0,Wednesday,Yes,very poor
2020,Nov,23,autumn,2,Morgen,2454,112,0,Thursday,Yes,poor
2020,Nov,24,autumn,3,Mittag,935,560,1,Friday,No,very good
2020,Nov,25,autumn,4,Mittag,1697,80,0,Saturday,Yes,very good
2020,Nov,26,autumn,5,Mittag,1819,124,0,Sunday,No,very good
2020,Nov,27,autumn,6,Mittag,2261,810,0,Monday,No,very good
2020,Nov,28,autumn,7,Mittag,3614,253,0,Tuesday,Yes,very good
2020,Nov,29,autumn,8,Morgen,2818,96,0,Wednesday,Yes,poor
2020,Nov,30,autumn,9,Mittag,3425,188,0,Thursday,Yes,very good
2020,Dec,1,autumn,10,Mittag,3545,182,0,Friday,Yes,very good
2020,Dec,2,autumn,11,Mittag,3672,268,0,Saturday,Yes,very good
2020,Dec,3,autumn,12,Mittag,2908,706,0,Sunday,No,very good
2020,Dec,4,autumn,13,Mittag,2851,634,0,Monday,No,very good
2020,Dec,5,autumn,14,Morgen,3578,233,0,Tuesday,Yes,poor
2020,Dec,6,autumn,15,Abend,2468,126,0,Wednesday,Yes,very poor
2020,Dec,7,autumn,16,Abend,655,50,0,Thursday,Yes,very poor
2020,Dec,8,autumn,17,Mittag,3172,150,0,Friday,Yes,very good
2020,Dec,9,autumn,18,Mittag,3359,261,0,Saturday,Yes,very good
2020,Dec,10,autumn,19,Mittag,2688,502,0,Sunday,No,very good
2020,Dec,11,autumn,20,Mittag,2366,377,0,Monday,No,very good
2020,Dec,12,autumn,21,Mittag,3167,143,0,Tuesday,Yes,very good
2020,Dec,13,autumn,22,Mittag,3368,155,0,Wednesday,Yes,very good
2020,Dec,14,autumn,23,Morgen,3562,178,0,Thursday,Yes,poor
2020,Dec,15,autumn,0,Morgen,3528,181,0,Friday,Yes,poor
2020,Dec,16,autumn,1,Morgen,3399,178,0,Saturday,Yes,poor
2020,Dec,17,autumn,2,Morgen,2464,275,0,Sunday,No,poor
2020,Dec,18,autumn,3,Mittag,2211,220,0,Monday,No,very good
2020,Dec,19,autumn,4,Mittag,3143,260,0,Tuesday,Yes,very good
2020,Dec,20,autumn,5,Morgen,3534,216,0,Wednesday,Yes,poor
2020,Dec,21,winter,6,Morgen,2553,107,0,Thursday,Yes,poor
2020,Dec,22,winter,7,Morgen,2841,227,0,Friday,Yes,poor
2020,Dec,23,winter,8,Mittag,2046,163,0,Saturday,Yes,very good
2020,Dec,24,winter,9,Mittag,856,155,0,Sunday,No,very good
2020,Dec,25,winter,10,Mittag,451,303,0,Monday,No,very good
2020,Dec,26,winter,11,Mittag,887,430,1,Tuesday,No,very good
2020,Dec,27,winter,12,Morgen,1059,103,0,Wednesday,Yes,poor
2020,Dec,28,winter,13,Mittag,2047,255,0,Thursday,Yes,very good
2020,Dec,29,winter,14,Mittag,2169,254,0,Friday,Yes,very good
2020,Dec,30,winter,15,Mittag,2508,491,0,Saturday,Yes,very good
2020,Dec,31,winter,16,Mittag,1820,665,0,Sunday,No,very good
2019,Jan,1,winter,17,Mittag,1608,686,0,Monday,No,very good
2019,Jan,2,winter,18,Mittag,1707,244,1,Tuesday,No,very good
2019,Jan,3,winter,19,Mittag,2147,89,0,Wednesday,Yes,very good
2019,Jan,4,winter,20,Morgen,2273,95,0,Thursday,Yes,poor
2019,Jan,5,winter,21,Mittag,3132,140,0,Friday,Yes,very good
2019,Jan,6,winter,22,Mittag,3791,307,0,Saturday,Yes,very good
